matches,fare_amount,duration,passenger_count,tpep_pickup_datetime,pickup_latitude,pickup_longitude,cars combined,new fare,driver cost saved,new duration,fare difference,duration difference,profit difference
"[47, 67]",18.0,19.866666666666667,2,2016-06-06 07:30:12,40.78236770629883,-73.97156524658203,2,14,4.966666666666667,23.866666666666667,-4.0,4.0,0.9666666666666668
"[6, 29]",23.0,28.35,3,2016-06-06 07:25:42,40.749961853027344,-73.9943618774414,2,21,7.0875,34.35,-2.0,6.0,5.0875
"[65, 98]",64.0,62.65,2,2016-06-06 07:32:35,40.77517318725585,-73.95912170410156,2,14,15.6625,66.65,-50.0,4.000000000000007,-34.3375
"[76, 93]",45.0,54.31666666666666,4,2016-06-06 07:34:19,40.781044006347656,-73.94962310791014,2,28,13.579166666666666,62.31666666666666,-17.0,8.0,-3.4208333333333343
"[87, 133]",16.0,18.799999999999997,2,2016-06-06 07:35:34,40.77332305908203,-73.94916534423827,2,14,4.699999999999999,22.799999999999997,-2.0,4.0,2.6999999999999993
"[11, 16]",20.0,24.366666666666667,4,2016-06-06 07:43:09,40.78430938720703,-73.95597839355469,2,28,6.091666666666667,32.36666666666667,8.0,8.0,14.091666666666667
"[121, 144]",15.0,14.9,2,2016-06-06 07:54:41,40.797279357910156,-73.96806335449219,2,14,3.725,18.9,-1.0,3.9999999999999982,2.725
"[123, 136]",19.5,24.400000000000006,2,2016-06-06 07:54:45,40.7646598815918,-73.9759063720703,2,14,6.100000000000001,28.400000000000006,-5.5,4.0,0.6000000000000014
"[13, 34]",13.0,13.583333333333336,3,2016-06-06 07:43:17,40.76768112182617,-73.98088073730467,2,21,3.395833333333334,19.583333333333336,8.0,6.0,11.395833333333334
"[28, 42]",19.0,22.533333333333335,3,2016-06-06 07:45:02,40.74663162231445,-73.99011993408203,2,21,5.633333333333334,28.533333333333335,2.0,6.0,7.633333333333334
"[3, 49]",15.0,15.883333333333333,2,2016-06-06 07:42:12,40.73952102661133,-73.98689270019531,2,14,3.970833333333333,19.883333333333333,-1.0,4.0,2.970833333333333
"[40, 65]",22.0,24.633333333333333,3,2016-06-06 07:45:51,40.73841094970703,-73.99990844726562,2,21,6.158333333333333,30.633333333333333,-1.0,6.0,5.158333333333333
"[5, 25]",15.5,18.583333333333336,3,2016-06-06 07:42:26,40.7683982849121,-73.96575164794923,2,21,4.645833333333334,24.583333333333336,5.5,6.0,10.145833333333334
"[59, 85]",11.0,12.45,2,2016-06-06 07:47:37,40.75697708129883,-73.9901351928711,2,14,3.1125,16.45,3.0,4.0,6.1125
"[66, 91]",22.5,26.8,2,2016-06-06 07:51:08,40.78497695922852,-73.95159149169923,2,14,6.7,30.8,-8.5,4.0,-1.7999999999999998
"[93, 122]",26.0,28.266666666666666,2,2016-06-06 07:51:26,40.77299499511719,-73.9462661743164,2,14,7.066666666666666,32.266666666666666,-12.0,4.0,-4.933333333333334
"[1, 8]",17.0,15.633333333333335,3,2016-06-06 07:58:01,40.750431060791016,-73.9789505004883,2,21,3.9083333333333337,21.633333333333333,4.0,5.999999999999998,7.908333333333333
"[103, 115]",20.0,25.21666666666667,2,2016-06-06 08:09:04,40.77869033813477,-73.95601654052734,2,14,6.304166666666667,29.21666666666667,-6.0,4.0,0.30416666666666714
"[106, 148]",20.0,27.266666666666666,3,2016-06-06 08:09:25,40.76301574707031,-73.96576690673827,2,21,6.816666666666666,33.266666666666666,1.0,6.0,7.816666666666666
"[132, 141]",23.0,28.7,3,2016-06-06 08:12:53,40.7548713684082,-73.98788452148438,2,21,7.175,34.7,-2.0,6.0000000000000036,5.175
"[18, 34]",8.5,7.0166666666666675,3,2016-06-06 08:00:03,40.7812614440918,-73.94940185546875,2,21,1.7541666666666669,13.016666666666667,12.5,6.0,14.254166666666666
"[19, 40]",19.5,21.78333333333333,2,2016-06-06 08:00:27,40.74859237670898,-73.98079681396483,2,14,5.445833333333333,25.78333333333333,-5.5,4.0,-0.05416666666666714
"[24, 38]",14.0,16.916666666666664,2,2016-06-06 08:00:47,40.75532150268555,-73.97114562988281,2,14,4.229166666666666,20.916666666666664,0.0,4.0,4.229166666666666
"[4, 6]",17.0,20.650000000000006,3,2016-06-06 07:58:31,40.78458786010742,-73.95812225341797,2,21,5.162500000000001,26.650000000000006,4.0,6.0,9.162500000000001
"[40, 48]",13.0,13.85,2,2016-06-06 08:03:02,40.745132446289055,-73.99069213867188,2,14,3.4625,17.85,1.0,4.000000000000002,4.4625
"[48, 78]",19.5,24.0,2,2016-06-06 08:06:06,40.74416732788085,-73.9915313720703,2,14,6.0,28.0,-5.5,4.0,0.5
"[51, 85]",12.5,12.066666666666666,2,2016-06-06 08:07:01,40.7687873840332,-73.96100616455078,2,14,3.0166666666666666,16.066666666666666,1.5,4.0,4.516666666666667
"[52, 61]",50.5,51.0,2,2016-06-06 08:03:26,40.70985412597656,-74.01649475097656,2,14,12.75,55.0,-36.5,4.0,-23.75
"[55, 56]",13.0,15.616666666666667,2,2016-06-06 08:03:35,40.70323181152344,-74.01167297363281,2,14,3.904166666666667,19.616666666666667,1.0,4.0,4.904166666666667
"[62, 68]",14.0,16.21666666666667,2,2016-06-06 08:04:28,40.76451110839844,-73.9688491821289,2,14,4.054166666666667,20.21666666666667,0.0,4.0,4.054166666666667
"[73, 110]",17.0,16.3,2,2016-06-06 08:05:41,40.74641799926758,-74.00155639648438,2,14,4.075,20.3,-3.0,4.0,1.0750000000000002
"[88, 118]",24.5,32.0,3,2016-06-06 08:07:13,40.74784469604492,-73.97378540039062,2,21,8.0,38.0,-3.5,6.0,4.5
"[9, 10]",13.0,12.3,2,2016-06-06 07:58:53,40.76482009887695,-73.96441650390625,2,14,3.075,16.3,1.0,4.0,4.075
"[0, 26]",39.5,54.31666666666666,3,2016-06-06 08:14:30,40.75968551635742,-73.9861602783203,2,21,13.579166666666666,60.31666666666666,-18.5,6.0,-4.920833333333334
"[10, 21]",29.0,42.766666666666666,2,2016-06-06 08:15:42,40.78475570678711,-73.94969177246094,2,14,10.691666666666666,46.766666666666666,-15.0,4.0,-4.308333333333334
"[11, 63]",21.0,25.200000000000003,4,2016-06-06 08:15:42,40.719322204589844,-74.00505828857422,2,28,6.300000000000001,33.2,7.0,8.0,13.3
"[114, 135]",16.5,21.53333333333333,2,2016-06-06 08:25:36,40.75115966796875,-73.99407958984375,2,14,5.383333333333333,25.53333333333333,-2.5,4.0,2.883333333333333
"[129, 132]",10.5,9.65,3,2016-06-06 08:27:15,40.71152877807617,-74.0104217529297,2,21,2.4125,15.65,10.5,6.0,12.9125
"[138, 143]",21.5,26.85,2,2016-06-06 08:28:24,40.74673843383789,-74.00121307373048,2,14,6.7125,30.85,-7.5,4.0,-0.7874999999999996
"[3, 20]",44.5,62.766666666666666,3,2016-06-06 08:14:52,40.779109954833984,-73.95368957519531,2,21,15.691666666666666,68.76666666666667,-23.5,6.0,-7.808333333333334
"[39, 55]",21.0,27.616666666666667,2,2016-06-06 08:21:35,40.77025985717773,-73.95436096191406,2,14,6.904166666666667,31.616666666666667,-7.0,4.0,-0.09583333333333321
"[48, 57]",25.0,29.483333333333334,3,2016-06-06 08:18:42,40.74489974975585,-73.98509979248048,2,21,7.370833333333334,35.483333333333334,-4.0,6.0,3.3708333333333336
"[51, 53]",22.5,28.083333333333336,2,2016-06-06 08:19:06,40.706409454345696,-74.01597595214845,2,14,7.020833333333334,32.083333333333336,-8.5,4.0,-1.479166666666666
"[52, 99]",13.0,14.033333333333335,2,2016-06-06 08:19:10,40.77019500732422,-73.96435546875,2,14,3.5083333333333337,18.033333333333335,1.0,4.0,4.508333333333334
"[61, 106]",27.0,34.38333333333333,3,2016-06-06 08:20:17,40.78781127929688,-73.9713363647461,2,21,8.595833333333333,40.38333333333333,-6.0,6.0,2.595833333333333
"[72, 101]",30.5,44.2,2,2016-06-06 08:24:17,40.73921585083008,-74.0029296875,2,14,11.05,48.2,-16.5,4.0,-5.449999999999999
"[74, 76]",19.0,23.11666666666667,4,2016-06-06 08:21:12,40.731834411621094,-74.0078582763672,2,28,5.779166666666668,31.11666666666667,9.0,8.0,14.779166666666669
"[85, 98]",13.5,14.549999999999999,3,2016-06-06 08:22:25,40.751747131347656,-73.99039459228516,2,21,3.6374999999999997,20.549999999999997,7.5,5.999999999999998,11.1375
"[92, 131]",46.0,45.8,2,2016-06-06 08:22:50,40.76451110839844,-73.96148681640625,2,14,11.45,49.8,-32.0,4.0,-20.55
